Екатеринбург;40 лет Комсомола;3
Екатеринбург;40 лет Комсомола;3а
Екатеринбург;40 лет Комсомола;3Б
Екатеринбург;40 лет Комсомола;4
Екатеринбург;40 лет Комсомола;4а
Екатеринбург;40 лет Комсомола;4д
Екатеринбург;40 лет Комсомола;4д к К
Екатеринбург;40 лет Комсомола;4и
Екатеринбург;40 лет Комсомола;4к
Екатеринбург;40 лет Комсомола;5
Екатеринбург;40 лет Комсомола;7
Екатеринбург;40 лет Комсомола;8а
Екатеринбург;40 лет Комсомола;10
Екатеринбург;40 лет Комсомола;10 киоск
Екатеринбург;40 лет Комсомола;10а
Екатеринбург;40 лет Комсомола;12
Екатеринбург;40 лет Комсомола;12а
Екатеринбург;40 лет Комсомола;14
Екатеринбург;40 лет Комсомола;14а
Екатеринбург;40 лет Комсомола;14Б
Екатеринбург;40 лет Комсомола;16
Екатеринбург;40 лет Комсомола;16а
Екатеринбург;40 лет Комсомола;16б
Екатеринбург;40 лет Комсомола;18
Екатеринбург;40 лет Комсомола;18а
Екатеринбург;40 лет Комсомола;18Б
Екатеринбург;40 лет Комсомола;18д
Екатеринбург;40 лет Комсомола;20
Екатеринбург;40 лет Комсомола;20а
Екатеринбург;40 лет Комсомола;20а киоск
Екатеринбург;40 лет Комсомола;20Б
Екатеринбург;40 лет Комсомола;22
Екатеринбург;40 лет Комсомола;22а
Екатеринбург;40 лет Комсомола;25
Екатеринбург;40 лет Комсомола;26
Екатеринбург;40 лет Комсомола;29
Екатеринбург;40 лет Комсомола;29а
Екатеринбург;40 лет Комсомола;30
Екатеринбург;40 лет Комсомола;31
Екатеринбург;40 лет Комсомола;31а
Екатеринбург;40 лет Комсомола;31б
Екатеринбург;40 лет Комсомола;32а
Екатеринбург;40 лет Комсомола;32Б
Екатеринбург;40 лет Комсомола;32в
Екатеринбург;40 лет Комсомола;32г
Екатеринбург;40 лет Комсомола;32д
Екатеринбург;40 лет Комсомола;32е
Екатеринбург;40 лет Комсомола;32/1
Екатеринбург;40 лет Комсомола;32/2
Екатеринбург;40 лет Комсомола;32/2 киоск
Екатеринбург;40 лет Комсомола;32/3
Екатеринбург;40 лет Комсомола;33
Екатеринбург;40 лет Комсомола;33а
Екатеринбург;40 лет Комсомола;33Б
Екатеринбург;40 лет Комсомола;34
Екатеринбург;40 лет Комсомола;34 к22
Екатеринбург;40 лет Комсомола;34в
Екатеринбург;40 лет Комсомола;34/1
Екатеринбург;40 лет Комсомола;34/2
Екатеринбург;40 лет Комсомола;34/9
Екатеринбург;40 лет Комсомола;34/19
Екатеринбург;40 лет Комсомола;36
Екатеринбург;40 лет Комсомола;36а
Екатеринбург;40 лет Комсомола;36Б
Екатеринбург;40 лет Комсомола;38а
Екатеринбург;40 лет Комсомола;38Б
Екатеринбург;40 лет Комсомола;38д
Екатеринбург;40 лет Комсомола;38к
Екатеринбург;40 лет Комсомола;38л
Екатеринбург;40 лет Комсомола;38м
Екатеринбург;40 лет Комсомола;38н
Екатеринбург;40 лет Комсомола;38/1
